Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uexit[m/s]  Uvent0D[m/s]  K2CO3[kg]  meanYfu  SMAX
  661    0.661    1   1000.3    942.8       104.02       2.98   4.990e-02   7.521e+01  3.499e-05  0.9318  3.73e-08
  662    0.662    1   1000.1    942.7       104.02       2.98   4.993e-02   7.520e+01  3.503e-05  0.9317  3.73e-08
  663    0.663    1    999.9    942.5       104.02       2.98   4.997e-02   7.519e+01  3.506e-05  0.9316  3.73e-08
  664    0.664    1    999.8    942.4       104.02       2.98   5.000e-02   7.518e+01  3.510e-05  0.9316  3.73e-08
  665    0.665    1    999.6    942.2       104.02       2.98   5.003e-02   7.516e+01  3.513e-05  0.9315  3.73e-08
  666    0.666    1    999.4    942.1       104.02       2.98   5.006e-02   7.515e+01  3.517e-05  0.9314  3.73e-08
  667    0.667    1    999.2    941.9       104.02       2.98   5.009e-02   7.514e+01  3.520e-05  0.9313  3.73e-08
  668    0.668    1    999.0    941.8       104.02       2.98   5.011e-02   7.513e+01  3.524e-05  0.9312  3.73e-08
  669    0.669    1    998.8    941.6       104.02       2.98   5.014e-02   7.512e+01  3.527e-05  0.9311  3.73e-08
  670    0.670    1    998.7    941.5       104.02       2.98   5.016e-02   7.511e+01  3.531e-05  0.9310  3.73e-08
  671    0.671    1    998.5    941.3       104.02       2.99   5.018e-02   7.510e+01  3.535e-05  0.9310  3.73e-08
  672    0.672    1    998.3    941.2       104.01       2.99   5.020e-02   7.508e+01  3.538e-05  0.9309  3.73e-08
  673    0.673    1    998.1    941.0       104.01       2.99   5.021e-02   7.507e+01  3.542e-05  0.9308  3.73e-08
  674    0.674    1    997.9    940.9       104.01       2.99   5.022e-02   7.506e+01  3.545e-05  0.9307  3.73e-08
  675    0.675    1    997.7    940.8       104.01       2.99   5.023e-02   7.505e+01  3.549e-05  0.9306  3.73e-08
  676    0.676    1    997.6    940.6       104.01       2.99   5.024e-02   7.504e+01  3.552e-05  0.9305  3.73e-08
  677    0.677    1    997.4    940.5       104.01       2.99   5.024e-02   7.503e+01  3.556e-05  0.9305  3.73e-08
  678    0.678    1    997.2    940.3       104.01       2.99   5.024e-02   7.502e+01  3.559e-05  0.9304  3.73e-08
  679    0.679    1    997.0    940.2       104.01       2.99   5.024e-02   7.500e+01  3.563e-05  0.9303  3.73e-08
  680    0.680    1    996.8    940.0       104.01       2.99   5.024e-02   7.499e+01  3.566e-05  0.9302  3.73e-08
   >> t=0.680 s | 2-D flow: m_gen=+2.61e-04 m_vent=+2.42e-04 kg/s/m (Pfield=3.0 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+3.01 kPa
  681    0.681    1    996.7    939.9       104.01       2.99   5.023e-02   7.498e+01  3.570e-05  0.9301  3.73e-08
  682    0.682    1    996.5    939.8       104.01       3.00   5.022e-02   7.497e+01  3.573e-05  0.9300  3.72e-08
  683    0.683    1    996.3    939.6       104.01       3.00   5.021e-02   7.496e+01  3.577e-05  0.9299  3.72e-08
  684    0.684    1    996.1    939.5       104.01       3.00   5.020e-02   7.495e+01  3.580e-05  0.9299  3.72e-08
  685    0.685    1    995.9    939.3       104.01       3.00   5.018e-02   7.494e+01  3.584e-05  0.9298  3.72e-08
  686    0.686    1    995.8    939.2       104.01       3.00   5.017e-02   7.493e+01  3.587e-05  0.9297  3.71e-08
  687    0.687    1    995.6    939.0       104.01       3.00   5.015e-02   7.491e+01  3.590e-05  0.9296  3.71e-08
  688    0.688    1    995.4    938.9       104.01       3.00   5.013e-02   7.490e+01  3.594e-05  0.9295  3.71e-08
  689    0.689    1    995.2    938.8       104.01       3.00   5.010e-02   7.489e+01  3.597e-05  0.9294  3.70e-08
  690    0.690    1    995.0    938.6       104.01       3.00   5.008e-02   7.488e+01  3.601e-05  0.9294  3.70e-08
  691    0.691    1    994.9    938.5       104.01       3.00   5.005e-02   7.487e+01  3.604e-05  0.9293  3.69e-08
  692    0.692    1    994.7    938.3       104.01       3.00   5.003e-02   7.486e+01  3.608e-05  0.9292  3.69e-08
  693    0.693    1    994.5    938.2       104.01       3.01   5.000e-02   7.485e+01  3.611e-05  0.9291  3.68e-08
  694    0.694    1    994.3    938.1       104.00       3.01   4.997e-02   7.484e+01  3.615e-05  0.9290  3.68e-08
  695    0.695    1    994.2    937.9       104.00       3.01   4.994e-02   7.483e+01  3.618e-05  0.9289  3.67e-08
  696    0.696    1    994.0    937.8       104.00       3.01   4.991e-02   7.482e+01  3.621e-05  0.9289  3.67e-08
  697    0.697    1    993.8    937.7       104.00       3.01   4.987e-02   7.481e+01  3.625e-05  0.9288  3.66e-08
  698    0.698    1    993.6    937.5       104.00       3.01   4.984e-02   7.480e+01  3.628e-05  0.9287  3.66e-08
  699    0.699    1    993.5    937.4       104.00       3.01   4.981e-02   7.479e+01  3.632e-05  0.9286  3.65e-08
  700    0.700    1    993.3    937.3       104.00       3.01   4.977e-02   7.477e+01  3.635e-05  0.9285  3.65e-08
  701    0.701    1    993.1    937.1       104.00       3.01   4.974e-02   7.476e+01  3.639e-05  0.9285  3.64e-08
  702    0.702    1    992.9    937.0       104.00       3.01   4.971e-02   7.475e+01  3.642e-05  0.9284  3.64e-08
  703    0.703    1    992.8    936.9       104.00       3.01   4.967e-02   7.474e+01  3.645e-05  0.9283  3.63e-08
  704    0.704    1    992.6    936.7       104.00       3.01   4.964e-02   7.473e+01  3.649e-05  0.9282  3.62e-08
  705    0.705    1    992.4    936.6       104.00       3.02   4.960e-02   7.472e+01  3.652e-05  0.9281  3.62e-08
  706    0.706    1    992.2    936.5       104.00       3.02   4.957e-02   7.471e+01  3.656e-05  0.9280  3.61e-08
  707    0.707    1    992.1    936.3       104.00       3.02   4.953e-02   7.470e+01  3.659e-05  0.9280  3.61e-08
  708    0.708    1    991.9    936.2       104.00       3.02   4.950e-02   7.469e+01  3.662e-05  0.9279  3.60e-08
  709    0.709    1    991.7    936.1       104.00       3.02   4.946e-02   7.468e+01  3.666e-05  0.9278  3.59e-08
  710    0.710    1    991.5    935.9       104.00       3.02   4.943e-02   7.467e+01  3.669e-05  0.9277  3.59e-08
  711    0.711    1    991.4    935.8       104.00       3.02   4.939e-02   7.466e+01  3.673e-05  0.9276  3.58e-08
  712    0.712    1    991.2    935.7       104.00       3.02   4.936e-02   7.465e+01  3.676e-05  0.9276  3.58e-08
  713    0.713    1    991.0    935.5       104.00       3.02   4.932e-02   7.464e+01  3.680e-05  0.9275  3.57e-08
  714    0.714    1    990.9    935.4       104.00       3.02   4.929e-02   7.463e+01  3.683e-05  0.9274  3.57e-08
  715    0.715    1    990.7    935.3       104.00       3.02   4.925e-02   7.462e+01  3.686e-05  0.9273  3.56e-08
  716    0.716    1    990.5    935.1       104.00       3.03   4.922e-02   7.461e+01  3.690e-05  0.9272  3.56e-08
  717    0.717    1    990.4    935.0       103.99       3.03   4.918e-02   7.460e+01  3.693e-05  0.9272  3.55e-08
  718    0.718    1    990.2    934.9       103.99       3.03   4.915e-02   7.459e+01  3.697e-05  0.9271  3.55e-08
  719    0.719    1    990.0    934.8       103.99       3.03   4.911e-02   7.458e+01  3.700e-05  0.9270  3.54e-08
  720    0.720    1    989.9    934.6       103.99       3.03   4.908e-02   7.457e+01  3.704e-05  0.9269  3.54e-08
   >> t=0.720 s | 2-D flow: m_gen=+2.55e-04 m_vent=+2.38e-04 kg/s/m (Pfield=3.0 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.99 kPa
  721    0.721    1    989.7    934.5       103.99       3.03   4.904e-02   7.456e+01  3.707e-05  0.9268  3.53e-08
  722    0.722    1    989.5    934.4       103.99       3.03   4.901e-02   7.455e+01  3.710e-05  0.9268  3.53e-08
  723    0.723    1    989.4    934.2       103.99       3.03   4.897e-02   7.454e+01  3.714e-05  0.9267  3.52e-08
  724    0.724    1    989.2    934.1       103.99       3.03   4.894e-02   7.453e+01  3.717e-05  0.9266  3.52e-08
  725    0.725    1    989.0    934.0       103.99       3.03   4.890e-02   7.452e+01  3.721e-05  0.9265  3.51e-08
  726    0.726    1    988.9    933.9       103.99       3.03   4.887e-02   7.451e+01  3.724e-05  0.9264  3.51e-08
  727    0.727    1    988.7    933.7       103.99       3.03   4.883e-02   7.450e+01  3.727e-05  0.9264  3.50e-08
  728    0.728    1    988.5    933.6       103.99       3.04   4.880e-02   7.449e+01  3.731e-05  0.9263  3.50e-08
  729    0.729    1    988.4    933.5       103.99       3.04   4.876e-02   7.448e+01  3.734e-05  0.9262  3.49e-08
  730    0.730    1    988.2    933.4       103.99       3.04   4.873e-02   7.447e+01  3.738e-05  0.9261  3.49e-08
  731    0.731    1    988.1    933.2       103.99       3.04   4.869e-02   7.446e+01  3.741e-05  0.9260  3.48e-08
  732    0.732    1    987.9    933.1       103.99       3.04   4.865e-02   7.445e+01  3.744e-05  0.9260  3.48e-08
  733    0.733    1    987.7    933.0       103.99       3.04   4.862e-02   7.444e+01  3.748e-05  0.9259  3.47e-08
  734    0.734    1    987.6    932.9       103.99       3.04   4.858e-02   7.443e+01  3.751e-05  0.9258  3.47e-08
  735    0.735    1    987.4    932.7       103.99       3.04   4.855e-02   7.442e+01  3.755e-05  0.9257  3.46e-08
  736    0.736    1    987.3    932.6       103.99       3.04   4.851e-02   7.441e+01  3.758e-05  0.9256  3.46e-08
  737    0.737    1    987.1    932.5       103.99       3.04   4.847e-02   7.440e+01  3.762e-05  0.9256  3.45e-08
  738    0.738    1    986.9    932.4       103.99       3.04   4.844e-02   7.439e+01  3.765e-05  0.9255  3.45e-08
  739    0.739    1    986.8    932.2       103.99       3.04   4.840e-02   7.438e+01  3.768e-05  0.9254  3.44e-08
  740    0.740    1    986.6    932.1       103.99       3.05   4.836e-02   7.437e+01  3.772e-05  0.9253  3.44e-08
  741    0.741    1    986.5    932.0       103.99       3.05   4.832e-02   7.436e+01  3.775e-05  0.9253  3.43e-08
  742    0.742    1    986.3    931.9       103.98       3.05   4.829e-02   7.435e+01  3.779e-05  0.9252  3.43e-08
  743    0.743    1    986.2    931.8       103.98       3.05   4.825e-02   7.434e+01  3.782e-05  0.9251  3.42e-08
  744    0.744    1    986.0    931.6       103.98       3.05   4.821e-02   7.433e+01  3.785e-05  0.9250  3.42e-08
  745    0.745    1    985.9    931.5       103.98       3.05   4.817e-02   7.432e+01  3.789e-05  0.9249  3.41e-08
  746    0.746    1    985.7    931.4       103.98       3.05   4.813e-02   7.431e+01  3.792e-05  0.9249  3.40e-08
  747    0.747    1    985.6    931.3       103.98       3.05   4.809e-02   7.430e+01  3.795e-05  0.9248  3.40e-08
  748    0.748    1    985.4    931.1       103.98       3.05   4.806e-02   7.429e+01  3.799e-05  0.9247  3.39e-08
  749    0.749    1    985.3    931.0       103.98       3.05   4.802e-02   7.429e+01  3.802e-05  0.9246  3.39e-08
  750    0.750    1    985.1    930.9       103.98       3.05   4.798e-02   7.428e+01  3.806e-05  0.9245  3.38e-08
  751    0.751    1    985.0    930.8       103.98       3.05   4.794e-02   7.427e+01  3.809e-05  0.9245  3.38e-08
  752    0.752    1    984.8    930.7       103.98       3.06   4.790e-02   7.426e+01  3.812e-05  0.9244  3.37e-08
  753    0.753    1    984.7    930.6       103.98       3.06   4.786e-02   7.425e+01  3.816e-05  0.9243  3.37e-08
  754    0.754    1    984.5    930.4       103.98       3.06   4.782e-02   7.424e+01  3.819e-05  0.9242  3.36e-08
  755    0.755    1    984.4    930.3       103.98       3.06   4.778e-02   7.423e+01  3.823e-05  0.9242  3.35e-08
  756    0.756    1    984.2    930.2       103.98       3.06   4.775e-02   7.422e+01  3.826e-05  0.9241  3.35e-08
  757    0.757    1    984.1    930.1       103.98       3.06   4.771e-02   7.421e+01  3.829e-05  0.9240  3.34e-08
  758    0.758    1    983.9    930.0       103.98       3.06   4.767e-02   7.420e+01  3.833e-05  0.9239  3.34e-08
  759    0.759    1    983.8    929.8       103.98       3.06   4.763e-02   7.419e+01  3.836e-05  0.9239  3.33e-08
  760    0.760    1    983.6    929.7       103.98       3.06   4.759e-02   7.418e+01  3.839e-05  0.9238  3.33e-08
   >> t=0.760 s | 2-D flow: m_gen=+2.48e-04 m_vent=+2.32e-04 kg/s/m (Pfield=3.1 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.98 kPa
  761    0.761    1    983.5    929.6       103.98       3.06   4.755e-02   7.417e+01  3.843e-05  0.9237  3.32e-08
  762    0.762    1    983.3    929.5       103.98       3.06   4.751e-02   7.416e+01  3.846e-05  0.9236  3.31e-08
  763    0.763    1    983.2    929.4       103.98       3.06   4.747e-02   7.416e+01  3.850e-05  0.9236  3.31e-08
  764    0.764    1    983.1    929.3       103.98       3.07   4.743e-02   7.415e+01  3.853e-05  0.9235  3.30e-08
  765    0.765    1    982.9    929.1       103.98       3.07   4.739e-02   7.414e+01  3.856e-05  0.9234  3.30e-08
  766    0.766    1    982.8    929.0       103.98       3.07   4.736e-02   7.413e+01  3.860e-05  0.9233  3.29e-08
  767    0.767    1    982.6    928.9       103.98       3.07   4.732e-02   7.412e+01  3.863e-05  0.9232  3.28e-08
  768    0.768    1    982.5    928.8       103.98       3.07   4.728e-02   7.411e+01  3.866e-05  0.9232  3.28e-08
  769    0.769    1    982.3    928.7       103.97       3.07   4.724e-02   7.410e+01  3.870e-05  0.9231  3.27e-08
  770    0.770    1    982.2    928.6       103.97       3.07   4.720e-02   7.409e+01  3.873e-05  0.9230  3.27e-08
  771    0.771    1    982.1    928.5       103.97       3.07   4.717e-02   7.408e+01  3.877e-05  0.9229  3.26e-08
  772    0.772    1    981.9    928.3       103.97       3.07   4.713e-02   7.407e+01  3.880e-05  0.9229  3.25e-08
  773    0.773    1    981.8    928.2       103.97       3.07   4.709e-02   7.407e+01  3.883e-05  0.9228  3.25e-08
  774    0.774    1    981.6    928.1       103.97       3.07   4.705e-02   7.406e+01  3.887e-05  0.9227  3.24e-08
  775    0.775    1    981.5    928.0       103.97       3.07   4.702e-02   7.405e+01  3.890e-05  0.9226  3.23e-08
  776    0.776    1    981.4    927.9       103.97       3.08   4.698e-02   7.404e+01  3.893e-05  0.9226  3.23e-08
  777    0.777    1    981.2    927.8       103.97       3.08   4.695e-02   7.403e+01  3.897e-05  0.9225  3.22e-08
  778    0.778    1    981.1    927.7       103.97       3.08   4.691e-02   7.402e+01  3.900e-05  0.9224  3.22e-08
  779    0.779    1    981.0    927.6       103.97       3.08   4.687e-02   7.401e+01  3.904e-05  0.9223  3.21e-08
  780    0.780    1    980.8    927.4       103.97       3.08   4.684e-02   7.400e+01  3.907e-05  0.9223  3.20e-08
  781    0.781    1    980.7    927.3       103.97       3.08   4.681e-02   7.400e+01  3.910e-05  0.9222  3.20e-08
  782    0.782    1    980.6    927.2       103.97       3.08   4.677e-02   7.399e+01  3.914e-05  0.9221  3.19e-08
  783    0.783    1    980.5    927.1       103.97       3.08   4.674e-02   7.398e+01  3.917e-05  0.9220  3.18e-08
  784    0.784    1    980.4    927.0       103.97       3.08   4.670e-02   7.397e+01  3.920e-05  0.9220  3.18e-08
  785    0.785    1    980.3    926.9       103.97       3.08   4.667e-02   7.396e+01  3.924e-05  0.9219  3.17e-08
  786    0.786    1    980.1    926.8       103.97       3.08   4.664e-02   7.395e+01  3.927e-05  0.9218  3.17e-08
  787    0.787    1    980.0    926.7       103.97       3.08   4.661e-02   7.394e+01  3.930e-05  0.9217  3.16e-08
  788    0.788    1    979.9    926.6       103.97       3.08   4.658e-02   7.393e+01  3.934e-05  0.9217  3.15e-08
  789    0.789    1    979.8    926.5       103.97       3.09   4.654e-02   7.393e+01  3.937e-05  0.9216  3.15e-08
  790    0.790    1    979.7    926.3       103.97       3.09   4.651e-02   7.392e+01  3.941e-05  0.9215  3.14e-08
  791    0.791    1    979.6    926.2       103.97       3.09   4.648e-02   7.391e+01  3.944e-05  0.9214  3.14e-08
  792    0.792    1    979.5    926.1       103.97       3.09   4.645e-02   7.390e+01  3.947e-05  0.9214  3.13e-08
  793    0.793    1    979.4    926.0       103.97       3.09   4.642e-02   7.389e+01  3.951e-05  0.9213  3.12e-08
  794    0.794    1    979.3    925.9       103.97       3.09   4.640e-02   7.388e+01  3.954e-05  0.9212  3.12e-08
  795    0.795    1    979.2    925.8       103.97       3.09   4.637e-02   7.388e+01  3.957e-05  0.9211  3.11e-08
  796    0.796    1    979.1    925.7       103.97       3.09   4.634e-02   7.387e+01  3.961e-05  0.9211  3.11e-08
  797    0.797    1    979.0    925.6       103.96       3.09   4.631e-02   7.386e+01  3.964e-05  0.9210  3.10e-08
  798    0.798    1    978.9    925.5       103.96       3.09   4.629e-02   7.385e+01  3.968e-05  0.9209  3.10e-08
  799    0.799    1    978.8    925.4       103.96       3.09   4.626e-02   7.384e+01  3.971e-05  0.9209  3.09e-08
  800    0.800    1    978.7    925.3       103.96       3.09   4.623e-02   7.383e+01  3.974e-05  0.9208  3.09e-08
   >> t=0.800 s | 2-D flow: m_gen=+2.42e-04 m_vent=+2.26e-04 kg/s/m (Pfield=3.1 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.96 kPa
  801    0.801    1    978.5    925.2       103.96       3.09   4.621e-02   7.382e+01  3.978e-05  0.9207  3.08e-08
  802    0.802    1    978.4    925.1       103.96       3.09   4.618e-02   7.382e+01  3.981e-05  0.9206  3.08e-08
  803    0.803    1    978.3    924.9       103.96       3.10   4.616e-02   7.381e+01  3.984e-05  0.9206  3.07e-08
  804    0.804    1    978.2    924.8       103.96       3.10   4.614e-02   7.380e+01  3.988e-05  0.9205  3.06e-08
  805    0.805    1    978.1    924.7       103.96       3.10   4.611e-02   7.379e+01  3.991e-05  0.9204  3.06e-08
  806    0.806    1    978.0    924.6       103.96       3.10   4.609e-02   7.378e+01  3.995e-05  0.9203  3.05e-08
  807    0.807    1    977.9    924.5       103.96       3.10   4.607e-02   7.377e+01  3.998e-05  0.9203  3.05e-08
  808    0.808    1    977.8    924.4       103.96       3.10   4.605e-02   7.377e+01  4.001e-05  0.9202  3.04e-08
  809    0.809    1    977.7    924.3       103.96       3.10   4.602e-02   7.376e+01  4.005e-05  0.9201  3.04e-08
  810    0.810    1    977.6    924.2       103.96       3.10   4.600e-02   7.375e+01  4.008e-05  0.9200  3.03e-08
  811    0.811    1    977.5    924.1       103.96       3.10   4.598e-02   7.374e+01  4.012e-05  0.9200  3.03e-08
  812    0.812    1    977.4    924.0       103.96       3.10   4.596e-02   7.373e+01  4.015e-05  0.9199  3.02e-08
  813    0.813    1    977.3    923.9       103.96       3.10   4.594e-02   7.373e+01  4.018e-05  0.9198  3.02e-08
  814    0.814    1    977.2    923.8       103.96       3.10   4.592e-02   7.372e+01  4.022e-05  0.9197  3.01e-08
  815    0.815    1    977.1    923.7       103.96       3.10   4.590e-02   7.371e+01  4.025e-05  0.9197  3.01e-08
  816    0.816    1    977.0    923.6       103.96       3.11   4.589e-02   7.370e+01  4.029e-05  0.9196  3.00e-08
  817    0.817    1    976.9    923.5       103.96       3.11   4.587e-02   7.369e+01  4.032e-05  0.9195  3.00e-08
  818    0.818    1    976.8    923.4       103.96       3.11   4.585e-02   7.368e+01  4.035e-05  0.9194  2.99e-08
  819    0.819    1    976.7    923.3       103.96       3.11   4.583e-02   7.368e+01  4.039e-05  0.9194  2.99e-08
  820    0.820    1    976.6    923.2       103.96       3.11   4.582e-02   7.367e+01  4.042e-05  0.9193  2.98e-08
  821    0.821    1    976.5    923.1       103.96       3.11   4.580e-02   7.366e+01  4.045e-05  0.9192  2.98e-08
  822    0.822    1    976.4    923.0       103.96       3.11   4.578e-02   7.365e+01  4.049e-05  0.9192  2.97e-08
  823    0.823    1    976.3    922.9       103.96       3.11   4.577e-02   7.364e+01  4.052e-05  0.9191  2.97e-08
  824    0.824    1    976.2    922.8       103.96       3.11   4.575e-02   7.364e+01  4.056e-05  0.9190  2.97e-08
  825    0.825    1    976.1    922.7       103.96       3.11   4.574e-02   7.363e+01  4.059e-05  0.9189  2.96e-08
  826    0.826    1    976.0    922.5       103.96       3.11   4.572e-02   7.362e+01  4.062e-05  0.9189  2.96e-08
  827    0.827    1    975.9    922.4       103.95       3.11   4.571e-02   7.361e+01  4.066e-05  0.9188  2.95e-08
  828    0.828    1    975.8    922.3       103.95       3.11   4.570e-02   7.360e+01  4.069e-05  0.9187  2.95e-08
  829    0.829    1    975.8    922.2       103.95       3.11   4.568e-02   7.360e+01  4.073e-05  0.9186  2.94e-08
  830    0.830    1    975.7    922.1       103.95       3.12   4.567e-02   7.359e+01  4.076e-05  0.9186  2.94e-08
  831    0.831    1    975.6    922.0       103.95       3.12   4.566e-02   7.358e+01  4.079e-05  0.9185  2.93e-08
  832    0.832    1    975.5    921.9       103.95       3.12   4.564e-02   7.357e+01  4.083e-05  0.9184  2.93e-08
  833    0.833    1    975.4    921.8       103.95       3.12   4.563e-02   7.356e+01  4.086e-05  0.9183  2.92e-08
  834    0.834    1    975.3    921.7       103.95       3.12   4.562e-02   7.356e+01  4.090e-05  0.9183  2.92e-08
  835    0.835    1    975.2    921.6       103.95       3.12   4.561e-02   7.355e+01  4.093e-05  0.9182  2.91e-08
  836    0.836    1    975.1    921.5       103.95       3.12   4.559e-02   7.354e+01  4.096e-05  0.9181  2.91e-08
  837    0.837    1    975.0    921.4       103.95       3.12   4.558e-02   7.353e+01  4.100e-05  0.9181  2.91e-08
  838    0.838    1    974.9    921.3       103.95       3.12   4.557e-02   7.352e+01  4.103e-05  0.9180  2.90e-08
  839    0.839    1    974.8    921.2       103.95       3.12   4.556e-02   7.352e+01  4.107e-05  0.9179  2.90e-08
  840    0.840    1    974.7    921.1       103.95       3.12   4.555e-02   7.351e+01  4.110e-05  0.9178  2.89e-08
   >> t=0.840 s | 2-D flow: m_gen=+2.38e-04 m_vent=+2.24e-04 kg/s/m (Pfield=3.1 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.95 kPa
  841    0.841    1    974.6    921.0       103.95       3.12   4.554e-02   7.350e+01  4.113e-05  0.9178  2.89e-08
  842    0.842    1    974.5    920.9       103.95       3.12   4.553e-02   7.349e+01  4.117e-05  0.9177  2.88e-08
  843    0.843    1    974.4    920.8       103.95       3.12   4.552e-02   7.349e+01  4.120e-05  0.9176  2.88e-08
  844    0.844    1    974.3    920.7       103.95       3.13   4.551e-02   7.348e+01  4.124e-05  0.9175  2.88e-08
  845    0.845    1    974.2    920.6       103.95       3.13   4.550e-02   7.347e+01  4.127e-05  0.9175  2.87e-08
  846    0.846    1    974.1    920.5       103.95       3.13   4.549e-02   7.346e+01  4.131e-05  0.9174  2.87e-08
  847    0.847    1    974.0    920.4       103.95       3.13   4.548e-02   7.345e+01  4.134e-05  0.9173  2.86e-08
  848    0.848    1    974.0    920.3       103.95       3.13   4.547e-02   7.345e+01  4.137e-05  0.9172  2.86e-08
  849    0.849    1    973.9    920.2       103.95       3.13   4.546e-02   7.344e+01  4.141e-05  0.9172  2.85e-08
  850    0.850    1    973.8    920.1       103.95       3.13   4.545e-02   7.343e+01  4.144e-05  0.9171  2.85e-08
  851    0.851    1    973.7    920.0       103.95       3.13   4.545e-02   7.342e+01  4.148e-05  0.9170  2.85e-08
  852    0.852    1    973.6    919.9       103.95       3.13   4.544e-02   7.342e+01  4.151e-05  0.9169  2.84e-08
  853    0.853    1    973.5    919.8       103.95       3.13   4.543e-02   7.341e+01  4.154e-05  0.9169  2.84e-08
  854    0.854    1    973.4    919.7       103.95       3.13   4.542e-02   7.340e+01  4.158e-05  0.9168  2.83e-08
  855    0.855    1    973.3    919.7       103.95       3.13   4.541e-02   7.339e+01  4.161e-05  0.9167  2.83e-08
  856    0.856    1    973.2    919.6       103.95       3.13   4.541e-02   7.339e+01  4.165e-05  0.9167  2.83e-08
  857    0.857    1    973.1    919.5       103.95       3.13   4.540e-02   7.338e+01  4.168e-05  0.9166  2.82e-08
  858    0.858    1    973.0    919.4       103.95       3.14   4.539e-02   7.337e+01  4.171e-05  0.9165  2.82e-08
  859    0.859    1    972.9    919.3       103.94       3.14   4.538e-02   7.336e+01  4.175e-05  0.9164  2.81e-08
  860    0.860    1    972.8    919.2       103.94       3.14   4.538e-02   7.336e+01  4.178e-05  0.9164  2.81e-08
  861    0.861    1    972.8    919.1       103.94       3.14   4.537e-02   7.335e+01  4.182e-05  0.9163  2.81e-08
  862    0.862    1    972.7    919.0       103.94       3.14   4.536e-02   7.334e+01  4.185e-05  0.9162  2.80e-08
  863    0.863    1    972.6    918.9       103.94       3.14   4.535e-02   7.333e+01  4.189e-05  0.9161  2.80e-08
  864    0.864    1    972.5    918.8       103.94       3.14   4.535e-02   7.332e+01  4.192e-05  0.9161  2.79e-08
  865    0.865    1    972.4    918.7       103.94       3.14   4.534e-02   7.332e+01  4.195e-05  0.9160  2.79e-08
  866    0.866    1    972.3    918.6       103.94       3.14   4.533e-02   7.331e+01  4.199e-05  0.9159  2.79e-08
  867    0.867    1    972.2    918.5       103.94       3.14   4.533e-02   7.330e+01  4.202e-05  0.9158  2.78e-08
  868    0.868    1    972.1    918.4       103.94       3.14   4.532e-02   7.329e+01  4.206e-05  0.9158  2.78e-08
  869    0.869    1    972.0    918.3       103.94       3.14   4.532e-02   7.329e+01  4.209e-05  0.9157  2.77e-08
  870    0.870    1    971.9    918.2       103.94       3.14   4.531e-02   7.328e+01  4.212e-05  0.9156  2.77e-08
  871    0.871    1    971.8    918.1       103.94       3.14   4.530e-02   7.327e+01  4.216e-05  0.9155  2.77e-08
  872    0.872    1    971.8    918.0       103.94       3.14   4.530e-02   7.326e+01  4.219e-05  0.9155  2.76e-08
  873    0.873    1    971.7    917.9       103.94       3.15   4.529e-02   7.326e+01  4.223e-05  0.9154  2.76e-08
  874    0.874    1    971.6    917.8       103.94       3.15   4.529e-02   7.325e+01  4.226e-05  0.9153  2.75e-08
  875    0.875    1    971.5    917.7       103.94       3.15   4.528e-02   7.324e+01  4.230e-05  0.9152  2.75e-08
  876    0.876    1    971.4    917.6       103.94       3.15   4.528e-02   7.324e+01  4.233e-05  0.9152  2.75e-08
  877    0.877    1    971.3    917.5       103.94       3.15   4.527e-02   7.323e+01  4.236e-05  0.9151  2.74e-08
  878    0.878    1    971.2    917.4       103.94       3.15   4.527e-02   7.322e+01  4.240e-05  0.9150  2.74e-08
  879    0.879    1    971.1    917.4       103.94       3.15   4.526e-02   7.321e+01  4.243e-05  0.9150  2.74e-08
  880    0.880    1    971.0    917.3       103.94       3.15   4.526e-02   7.321e+01  4.247e-05  0.9149  2.73e-08
   >> t=0.880 s | 2-D flow: m_gen=+2.37e-04 m_vent=+2.23e-04 kg/s/m (Pfield=3.2 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.94 kPa
  881    0.881    1    970.9    917.2       103.94       3.15   4.526e-02   7.320e+01  4.250e-05  0.9148  2.73e-08
  882    0.882    1    970.9    917.1       103.94       3.15   4.525e-02   7.319e+01  4.254e-05  0.9147  2.73e-08
  883    0.883    1    970.8    917.0       103.94       3.15   4.525e-02   7.318e+01  4.257e-05  0.9147  2.72e-08
  884    0.884    1    970.7    916.9       103.94       3.15   4.524e-02   7.318e+01  4.260e-05  0.9146  2.72e-08
  885    0.885    1    970.6    916.8       103.94       3.15   4.524e-02   7.317e+01  4.264e-05  0.9145  2.71e-08
  886    0.886    1    970.5    916.7       103.94       3.15   4.524e-02   7.316e+01  4.267e-05  0.9144  2.71e-08
